Week,free download: (Iran)
1/25/2015,84
2/1/2015,72
2/8/2015,77
2/15/2015,75
2/22/2015,81
3/1/2015,89
3/8/2015,89
3/15/2015,100
3/22/2015,99
3/29/2015,90
4/5/2015,80
4/12/2015,78
4/19/2015,79
4/26/2015,82
5/3/2015,80
5/10/2015,77
5/17/2015,70
5/24/2015,79
5/31/2015,78
6/7/2015,78
6/14/2015,77
6/21/2015,66
6/28/2015,69
7/5/2015,65
7/12/2015,71
7/19/2015,66
7/26/2015,69
8/2/2015,75
8/9/2015,74
8/16/2015,70
8/23/2015,68
8/30/2015,72
9/6/2015,62
9/13/2015,66
9/20/2015,58
9/27/2015,69
10/4/2015,61
10/11/2015,53
10/18/2015,66
10/25/2015,69
11/1/2015,63
11/8/2015,67
11/15/2015,67
11/22/2015,65
11/29/2015,66
12/6/2015,61
12/13/2015,58
12/20/2015,61
12/27/2015,61
1/3/2016,51
1/10/2016,49
1/17/2016,49
1/24/2016,52
1/31/2016,55
2/7/2016,56
2/14/2016,56
2/21/2016,58
2/28/2016,46
3/6/2016,59
3/13/2016,49
3/20/2016,56
3/27/2016,45
4/3/2016,50
4/10/2016,47
4/17/2016,41
4/24/2016,46
5/1/2016,49
5/8/2016,47
5/15/2016,46
5/22/2016,45
5/29/2016,46
6/5/2016,41
6/12/2016,40
6/19/2016,44
6/26/2016,38
7/3/2016,48
7/10/2016,42
7/17/2016,38
7/24/2016,43
7/31/2016,41
8/7/2016,40
8/14/2016,38
8/21/2016,37
8/28/2016,43
9/4/2016,40
9/11/2016,39
9/18/2016,40
9/25/2016,37
10/2/2016,36
10/9/2016,39
10/16/2016,36
10/23/2016,37
10/30/2016,35
11/6/2016,36
11/13/2016,37
11/20/2016,36
11/27/2016,36
12/4/2016,38
12/11/2016,33
12/18/2016,36
12/25/2016,35
1/1/2017,37
1/8/2017,29
1/15/2017,32
1/22/2017,28
1/29/2017,28
2/5/2017,31
2/12/2017,34
2/19/2017,32
2/26/2017,30
3/5/2017,31
3/12/2017,30
3/19/2017,32
3/26/2017,32
4/2/2017,28
4/9/2017,30
4/16/2017,28
4/23/2017,26
4/30/2017,28
5/7/2017,31
5/14/2017,28
5/21/2017,27
5/28/2017,26
6/4/2017,28
6/11/2017,26
6/18/2017,27
6/25/2017,25
7/2/2017,26
7/9/2017,24
7/16/2017,25
7/23/2017,25
7/30/2017,30
